Elements,Instructions,Cycles,IPC,LLC_misses,lat_ns
5000000,0,0,0,0,0
10000000,0,0,0,0,0
15000000,0,0,0,0,0
20000000,0,0,0,0,0
25000000,0,0,0,0,0
30000000,0,0,0,0,0
35000000,0,0,0,0,0
40000000,0,0,0,0,0
45000000,0,0,0,0,0
50000000,0,0,0,0,0
55000000,0,0,0,0,0
60000000,0,0,0,0,0
65000000,0,0,0,0,0
70000000,0,0,0,0,0
75000000,0,0,0,0,0
80000000,0,0,0,0,0
85000000,0,0,0,0,0
90000000,0,0,0,0,0
95000000,0,0,0,0,0
100000000,0,0,0,0,0
105000000,0,0,0,0,0
110000000,0,0,0,0,0
115000000,0,0,0,0,0
120000000,0,0,0,0,0
125000000,0,0,0,0,0
130000000,0,0,0,0,0
135000000,0,0,0,0,0
140000000,0,0,0,0,0
145000000,0,0,0,0,0
150000000,0,0,0,0,0
155000000,0,0,0,0,0
160000000,0,0,0,0,0
165000000,0,0,0,0,0
170000000,0,0,0,0,0
175000000,0,0,0,0,0
180000000,0,0,0,0,0
185000000,0,0,0,0,0
190000000,0,0,0,0,0
195000000,0,0,0,0,0
200000000,0,0,0,0,0
205000000,0,0,0,0,0
210000000,0,0,0,0,0
215000000,0,0,0,0,0
220000000,0,0,0,0,0
225000000,0,0,0,0,0
230000000,0,0,0,0,0
235000000,0,0,0,0,0
240000000,0,0,0,0,0
245000000,0,0,0,0,0
250000000,0,0,0,0,0
255000000,0,0,0,0,0
260000000,0,0,0,0,0
265000000,0,0,0,0,0
270000000,0,0,0,0,0
275000000,0,0,0,0,0
280000000,0,0,0,0,0
285000000,0,0,0,0,0
290000000,0,0,0,0,0
295000000,0,0,0,0,0
300000000,0,0,0,0,0
305000000,0,0,0,0,0
310000000,0,0,0,0,0
315000000,0,0,0,0,0
320000000,0,0,0,0,0
325000000,0,0,0,0,0
330000000,0,0,0,0,0
335000000,0,0,0,0,0
340000000,0,0,0,0,0
345000000,0,0,0,0,0
350000000,0,0,0,0,0
355000000,0,0,0,0,0
360000000,0,0,0,0,0
365000000,0,0,0,0,0
370000000,0,0,0,0,0
375000000,0,0,0,0,0
380000000,0,0,0,0,0
385000000,0,0,0,0,0
390000000,0,0,0,0,0
395000000,0,0,0,0,0
400000000,0,0,0,0,0
405000000,0,0,0,0,0
410000000,0,0,0,0,0
415000000,0,0,0,0,0
420000000,0,0,0,0,0
425000000,0,0,0,0,0
430000000,0,0,0,0,0
435000000,0,0,0,0,0
440000000,0,0,0,0,0
445000000,0,0,0,0,0
450000000,0,0,0,0,0
455000000,0,0,0,0,0
460000000,0,0,0,0,0
465000000,0,0,0,0,0
470000000,0,0,0,0,0
475000000,0,0,0,0,0
480000000,0,0,0,0,0
485000000,0,0,0,0,0
490000000,0,0,0,0,0
495000000,0,0,0,0,0
500000000,0,0,0,0,0
505000000,0,0,0,0,0
510000000,0,0,0,0,0
515000000,0,0,0,0,0
520000000,0,0,0,0,0
525000000,0,0,0,0,0
530000000,0,0,0,0,0
535000000,0,0,0,0,0
540000000,0,0,0,0,0
545000000,0,0,0,0,0
550000000,0,0,0,0,0
555000000,0,0,0,0,0
560000000,0,0,0,0,0
565000000,0,0,0,0,0
570000000,0,0,0,0,0
575000000,0,0,0,0,0
580000000,0,0,0,0,0
585000000,0,0,0,0,0
590000000,0,0,0,0,0
595000000,0,0,0,0,0
600000000,0,0,0,0,0
605000000,0,0,0,0,0
610000000,0,0,0,0,0
615000000,0,0,0,0,0
620000000,0,0,0,0,0
625000000,0,0,0,0,0
630000000,0,0,0,0,0
635000000,0,0,0,0,0
640000000,0,0,0,0,0
645000000,0,0,0,0,0
650000000,0,0,0,0,0
655000000,0,0,0,0,0
660000000,0,0,0,0,0
665000000,0,0,0,0,0
670000000,0,0,0,0,0
675000000,0,0,0,0,0
680000000,0,0,0,0,0
685000000,0,0,0,0,0
690000000,0,0,0,0,0
695000000,0,0,0,0,0
700000000,0,0,0,0,0
705000000,0,0,0,0,0
710000000,0,0,0,0,0
715000000,0,0,0,0,0
720000000,0,0,0,0,0
725000000,0,0,0,0,0
730000000,0,0,0,0,0
735000000,0,0,0,0,0
740000000,0,0,0,0,0
745000000,0,0,0,0,0
750000000,0,0,0,0,0
755000000,0,0,0,0,0
760000000,0,0,0,0,0
765000000,0,0,0,0,0
770000000,0,0,0,0,0
775000000,0,0,0,0,0
780000000,0,0,0,0,0
785000000,0,0,0,0,0
790000000,0,0,0,0,0
795000000,0,0,0,0,0
800000000,0,0,0,0,0
805000000,0,0,0,0,0
810000000,0,0,0,0,0
815000000,0,0,0,0,0
820000000,0,0,0,0,0
825000000,0,0,0,0,0
830000000,0,0,0,0,0
835000000,0,0,0,0,0
840000000,0,0,0,0,0
845000000,0,0,0,0,0
850000000,0,0,0,0,0
855000000,0,0,0,0,0
860000000,0,0,0,0,0
865000000,0,0,0,0,0
870000000,0,0,0,0,0
875000000,0,0,0,0,0
880000000,0,0,0,0,0
885000000,0,0,0,0,0
890000000,0,0,0,0,0
895000000,0,0,0,0,0
900000000,0,0,0,0,0
905000000,0,0,0,0,0
910000000,0,0,0,0,0
915000000,0,0,0,0,0
920000000,0,0,0,0,0
925000000,0,0,0,0,0
930000000,0,0,0,0,0
935000000,0,0,0,0,0
940000000,0,0,0,0,0
945000000,0,0,0,0,0
950000000,0,0,0,0,0
955000000,0,0,0,0,0
960000000,0,0,0,0,0
965000000,0,0,0,0,0
970000000,0,0,0,0,0
975000000,0,0,0,0,0
980000000,0,0,0,0,0
985000000,0,0,0,0,0
990000000,0,0,0,0,0
995000000,0,0,0,0,0
1000000000,0,0,0,0,0
1005000000,0,0,0,0,0
1010000000,0,0,0,0,0
1015000000,0,0,0,0,0
1020000000,0,0,0,0,0
1025000000,0,0,0,0,0
1030000000,0,0,0,0,0
1035000000,0,0,0,0,0
1040000000,0,0,0,0,0
1045000000,0,0,0,0,0
1050000000,0,0,0,0,0
1055000000,0,0,0,0,0
1060000000,0,0,0,0,0
1065000000,0,0,0,0,0
1070000000,0,0,0,0,0
1075000000,0,0,0,0,0
1080000000,0,0,0,0,0
1085000000,0,0,0,0,0
1090000000,0,0,0,0,0
1095000000,0,0,0,0,0
1100000000,0,0,0,0,0
1105000000,0,0,0,0,0
1110000000,0,0,0,0,0
1115000000,0,0,0,0,0
1120000000,0,0,0,0,0
1125000000,0,0,0,0,0
1130000000,0,0,0,0,0
1135000000,0,0,0,0,0
1140000000,0,0,0,0,0
1145000000,0,0,0,0,0
1150000000,0,0,0,0,0
1155000000,0,0,0,0,0
1160000000,0,0,0,0,0
1165000000,0,0,0,0,0
1170000000,0,0,0,0,0
1175000000,0,0,0,0,0
1180000000,0,0,0,0,0
1185000000,0,0,0,0,0
1190000000,0,0,0,0,0
1195000000,0,0,0,0,0
1200000000,0,0,0,0,0
1205000000,0,0,0,0,0
1210000000,0,0,0,0,0
1215000000,0,0,0,0,0
1220000000,0,0,0,0,0
1225000000,0,0,0,0,0
1230000000,0,0,0,0,0
1235000000,0,0,0,0,0
1240000000,0,0,0,0,0
1245000000,0,0,0,0,0
1250000000,0,0,0,0,0
1255000000,0,0,0,0,0
1260000000,0,0,0,0,0
1265000000,0,0,0,0,0
1270000000,0,0,0,0,0
1275000000,0,0,0,0,0
1280000000,0,0,0,0,0
1285000000,0,0,0,0,0
1290000000,0,0,0,0,0
1295000000,0,0,0,0,0
1300000000,0,0,0,0,0
1305000000,0,0,0,0,0
1310000000,0,0,0,0,0
1315000000,0,0,0,0,0
1320000000,0,0,0,0,0
1325000000,0,0,0,0,0
1330000000,0,0,0,0,0
1335000000,0,0,0,0,0
1340000000,0,0,0,0,0
1345000000,0,0,0,0,0
1350000000,0,0,0,0,0
1355000000,0,0,0,0,0
1360000000,0,0,0,0,0
1365000000,0,0,0,0,0
1370000000,0,0,0,0,0
1375000000,0,0,0,0,0
1380000000,0,0,0,0,0
1385000000,0,0,0,0,0
1390000000,0,0,0,0,0
1395000000,0,0,0,0,0
1400000000,0,0,0,0,0
1405000000,0,0,0,0,0
1410000000,0,0,0,0,0
1415000000,0,0,0,0,0
1420000000,0,0,0,0,0
1425000000,0,0,0,0,0
1430000000,0,0,0,0,0
1435000000,0,0,0,0,0
1440000000,0,0,0,0,0
1445000000,0,0,0,0,0
1450000000,0,0,0,0,0
1455000000,0,0,0,0,0
1460000000,0,0,0,0,0
1465000000,0,0,0,0,0
1470000000,0,0,0,0,0
1475000000,0,0,0,0,0
1480000000,0,0,0,0,0
1485000000,0,0,0,0,0
1490000000,0,0,0,0,0
1495000000,0,0,0,0,0
1500000000,0,0,0,0,0
1505000000,0,0,0,0,0
1510000000,0,0,0,0,0
1515000000,0,0,0,0,0
1520000000,0,0,0,0,0
1525000000,0,0,0,0,0
1530000000,0,0,0,0,0
1535000000,0,0,0,0,0
1540000000,0,0,0,0,0
1545000000,0,0,0,0,0
