Elements,Instructions,Cycles,IPC,LLC_misses,lat_ns
5000000,2081214083.0,1818062497.0,1.145,0,214450936.0
10000000,2926115518.0,2095312593.0,1.397,0,279488886.0
15000000,3772546125.0,2384524986.0,1.582,0,345497600.0
20000000,4619436502.0,2659324378.0,1.737,0,409628125.0
25000000,5460756410.0,2949933721.0,1.851,0,477193398.0
30000000,6307073656.0,3209228604.0,1.965,0,537578223.0
35000000,7149956216.0,3486095734.0,2.051,0,602032539.0
40000000,7991826779.0,3756133671.0,2.128,0,665106010.0
45000000,8839686549.0,4074530569.0,2.17,0,739144925.0
50000000,9683053432.0,4323625551.0,2.24,0,797439418.0
55000000,10527909966.0,4593648852.0,2.292,0,860033087.0
60000000,11368951023.0,4881965530.0,2.329,0,927232415.0
65000000,12216104794.0,5151397284.0,2.371,0,990433658.0
70000000,13057606537.0,5423171124.0,2.408,0,1053258772.0
75000000,13900465748.0,5714875552.0,2.432,0,1121228199.0
80000000,14748141598.0,5988950333.0,2.463,0,1185052250.0
85000000,15587565330.0,6324690759.0,2.465,0,1263326394.0
90000000,16432401119.0,6569630913.0,2.501,0,1320251830.0
95000000,17276661313.0,6835158043.0,2.528,0,1382230888.0
100000000,18121255731.0,7120775413.0,2.545,0,1448625744.0
