Elements,Instructions,Cycles,IPC,LLC_misses,lat_ns
5000000,3584147611.0,4012921155.0,0.893,0,725829162.0
10000000,5920765713.0,7206354640.0,0.822,0,1467925631.0
15000000,8839661099.0,12192836250.0,0.726,0,2615554117.0
20000000,10875016342.0,14922487356.0,0.73,0,3241276800.0
25000000,13030883222.0,17560618345.0,0.742,0,3856231001.0
30000000,16446121514.0,24678769957.0,0.668,0,5507475546.0
35000000,18529273016.0,27355599969.0,0.679,0,6132516398.0
40000000,20617218391.0,30130355524.0,0.685,0,6769574599.0
45000000,22714950646.0,33223178085.0,0.685,0,7490058368.0
50000000,24812589792.0,38260964830.0,0.65,0,8655011470.0
55000000,27000562284.0,41049859065.0,0.659,0,9304794528.0
60000000,31675782859.0,50354625414.0,0.631,0,11463612645.0
65000000,33761246852.0,52715897407.0,0.642,0,12010410462.0
70000000,35842498335.0,57276045559.0,0.627,0,13069756140.0
75000000,37921699711.0,58319603149.0,0.651,0,13311483975.0
80000000,40001493379.0,64642251415.0,0.62,0,14777690330.0
85000000,42109928885.0,66751708059.0,0.633,0,15259251265.0
90000000,44214261423.0,69048696650.0,0.641,0,15794277901.0
95000000,46347890686.0,75521103500.0,0.615,0,17301401276.0
100000000,48444155612.0,77296626560.0,0.628,0,17712550150.0
